"long","lat","Country"
16.979666782304,48.1234970159763,"Austria"
16.9037541032673,47.7148656276283,"Austria"
16.3405843441504,47.7129019232012,"Austria"
16.5342676123804,47.4961709661691,"Austria"
16.2022982113374,46.852385972677,"Austria"
16.0116638526127,46.6836107448117,"Austria"
15.137091912505,46.658702704447,"Austria"
14.6324715511748,46.4318173284695,"Austria"
13.8064754574215,46.5093061386912,"Austria"
12.3764852230408,46.7675591090699,"Austria"
12.1530880062431,47.1153931748265,"Austria"
11.1648279150933,46.9415794948127,"Austria"
11.0485559424365,46.7513585475463,"Austria"
10.4427014502466,46.8935462509974,"Austria"
9.93244835779666,46.920728054383,"Austria"
9.47996951664902,47.1028099635634,"Austria"
9.63293175623298,47.34760122333,"Austria"
9.59422610844635,47.5250580918203,"Austria"
9.89606814946319,47.5801968450757,"Austria"
10.4020837744652,47.3024876979392,"Austria"
10.5445040218616,47.5663992376538,"Austria"
11.4264140153547,47.523766181013,"Austria"
12.1413574561128,47.7030834010658,"Austria"
12.6207597184845,47.6723876002844,"Austria"
12.9326269873659,47.467645575544,"Austria"
13.0258512712205,47.6375835231358,"Austria"
12.8841028174439,48.2891458196879,"Austria"
13.243357374737,48.4161148138291,"Austria"
13.5959456722644,48.8771719427371,"Austria"
14.3388977393247,48.5553052842072,"Austria"
14.9014473812541,48.9644017604458,"Austria"
15.253415561594,49.0390742051076,"Austria"
16.0296472510502,48.7338990342079,"Austria"
16.4992826677188,48.7858080104451,"Austria"
16.9602881201946,48.5969823268506,"Austria"
16.879982944413,48.4700133327095,"Austria"
16.979666782304,48.1234970159763,"Austria"
3.31497114422854,51.3457809515361,"Belgium"
4.04707116050753,51.2672586126686,"Belgium"
4.97399132652691,51.4750237086981,"Belgium"
5.60697594567,51.0372984889698,"Belgium"
6.15665815595878,50.8037210150106,"Belgium"
6.04307335778111,50.1280516627942,"Belgium"
5.78241743330091,50.0903278672212,"Belgium"
5.67405195478483,49.5294835475575,"Belgium"
4.79922163251581,49.9853730332364,"Belgium"
4.28602298342508,49.9074966497726,"Belgium"
3.58818444175569,50.3789924180036,"Belgium"
