country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Netherlands,NL,2021-06,TESSy,23540,937,4,Yes,B.1.1.7,250,937,26.7
Netherlands,NL,2021-06,TESSy,23540,937,4,Yes,B.1.351,30,937,3.2
Netherlands,NL,2021-06,TESSy,23540,937,4,Yes,P.1,1,937,0.1
Netherlands,NL,2021-06,TESSy,23540,937,4,Yes,Other,656,937,70
Netherlands,NL,2021-07,TESSy,27342,1048,3.8,Yes,B.1.1.7,617,1048,58.9
Netherlands,NL,2021-07,TESSy,27342,1048,3.8,Yes,B.1.351,32,1048,3.1
Netherlands,NL,2021-07,TESSy,27342,1048,3.8,Yes,P.1,1,1048,0.1
Netherlands,NL,2021-07,TESSy,27342,1048,3.8,Yes,Other,398,1048,38
Netherlands,NL,2021-08,TESSy,31986,1037,3.2,Yes,B.1.1.7,794,1037,76.6
Netherlands,NL,2021-08,TESSy,31986,1037,3.2,Yes,B.1.351,19,1037,1.8
Netherlands,NL,2021-08,TESSy,31986,1037,3.2,Yes,P.1,3,1037,0.3
Netherlands,NL,2021-08,TESSy,31986,1037,3.2,Yes,Other,221,1037,21.3
Netherlands,NL,2021-09,TESSy,31311,1515,4.8,Yes,B.1.1.7,1269,1515,83.8
Netherlands,NL,2021-09,TESSy,31311,1515,4.8,Yes,B.1.351,24,1515,1.6
Netherlands,NL,2021-09,TESSy,31311,1515,4.8,Yes,P.1,10,1515,0.7
Netherlands,NL,2021-09,TESSy,31311,1515,4.8,Yes,Other,212,1515,14
Netherlands,NL,2021-10,TESSy,37028,1974,5.3,Yes,B.1.1.7,1728,1974,87.5
Netherlands,NL,2021-10,TESSy,37028,1974,5.3,Yes,B.1.351,56,1974,2.8
Netherlands,NL,2021-10,TESSy,37028,1974,5.3,Yes,P.1,13,1974,0.7
Netherlands,NL,2021-10,TESSy,37028,1974,5.3,Yes,Other,177,1974,9
Netherlands,NL,2021-11,TESSy,44403,1563,3.5,Yes,B.1.1.7,1399,1563,89.5
Netherlands,NL,2021-11,TESSy,44403,1563,3.5,Yes,B.1.351,56,1563,3.6
Netherlands,NL,2021-11,TESSy,44403,1563,3.5,Yes,P.1,23,1563,1.5
Netherlands,NL,2021-11,TESSy,44403,1563,3.5,Yes,Other,85,1563,5.4
Netherlands,NL,2021-12,TESSy,50961,1601,3.1,Yes,B.1.1.7,1495,1601,93.4
Netherlands,NL,2021-12,TESSy,50961,1601,3.1,Yes,B.1.351,39,1601,2.4
Netherlands,NL,2021-12,TESSy,50961,1601,3.1,Yes,P.1,23,1601,1.4
Netherlands,NL,2021-12,TESSy,50961,1601,3.1,Yes,Other,44,1601,2.7
Netherlands,NL,2021-13,TESSy,49757,1711,3.4,Yes,B.1.1.7,1620,1711,94.7
Netherlands,NL,2021-13,TESSy,49757,1711,3.4,Yes,B.1.351,40,1711,2.3
Netherlands,NL,2021-13,TESSy,49757,1711,3.4,Yes,P.1,15,1711,0.9
Netherlands,NL,2021-13,TESSy,49757,1711,3.4,Yes,Other,36,1711,2.1
Netherlands,NL,2021-14,TESSy,48483,1532,3.2,Yes,B.1.1.7,1461,1532,95.4
Netherlands,NL,2021-14,TESSy,48483,1532,3.2,Yes,B.1.351,28,1532,1.8
Netherlands,NL,2021-14,TESSy,48483,1532,3.2,Yes,B.1.621,1,1532,0.1
Netherlands,NL,2021-14,TESSy,48483,1532,3.2,Yes,P.1,23,1532,1.5
Netherlands,NL,2021-14,TESSy,48483,1532,3.2,Yes,Other,19,1532,1.2
Netherlands,NL,2021-15,TESSy,53179,1677,3.2,Yes,B.1.1.7,1621,1677,96.7
Netherlands,NL,2021-15,TESSy,53179,1677,3.2,Yes,B.1.351,20,1677,1.2
Netherlands,NL,2021-15,TESSy,53179,1677,3.2,Yes,B.1.617,0,1677,0
Netherlands,NL,2021-15,TESSy,53179,1677,3.2,Yes,B.1.617.2,1,1677,0.1
Netherlands,NL,2021-15,TESSy,53179,1677,3.2,Yes,B.1.621,1,1677,0.1
Netherlands,NL,2021-15,TESSy,53179,1677,3.2,Yes,P.1,21,1677,1.3
Netherlands,NL,2021-15,TESSy,53179,1677,3.2,Yes,Other,13,1677,0.8
Netherlands,NL,2021-16,TESSy,57347,1593,2.8,Yes,B.1.1.7,1532,1593,96.2
Netherlands,NL,2021-16,TESSy,57347,1593,2.8,Yes,B.1.351,18,1593,1.1
Netherlands,NL,2021-16,TESSy,57347,1593,2.8,Yes,B.1.617,0,1593,0
Netherlands,NL,2021-16,TESSy,57347,1593,2.8,Yes,B.1.617.2,2,1593,0.1
Netherlands,NL,2021-16,TESSy,57347,1593,2.8,Yes,B.1.621,2,1593,0.1
Netherlands,NL,2021-16,TESSy,57347,1593,2.8,Yes,P.1,28,1593,1.8
Netherlands,NL,2021-16,TESSy,57347,1593,2.8,Yes,Other,11,1593,0.7
Netherlands,NL,2021-17,TESSy,46473,1691,3.6,Yes,B.1.1.7,1643,1691,97.2
Netherlands,NL,2021-17,TESSy,46473,1691,3.6,Yes,B.1.351,7,1691,0.4
Netherlands,NL,2021-17,TESSy,46473,1691,3.6,Yes,B.1.617,0,1691,0
Netherlands,NL,2021-17,TESSy,46473,1691,3.6,Yes,B.1.617.2,4,1691,0.2
Netherlands,NL,2021-17,TESSy,46473,1691,3.6,Yes,B.1.621,1,1691,0.1
Netherlands,NL,2021-17,TESSy,46473,1691,3.6,Yes,P.1,28,1691,1.7
Netherlands,NL,2021-17,TESSy,46473,1691,3.6,Yes,Other,8,1691,0.5
Netherlands,NL,2021-18,TESSy,52462,1687,3.2,Yes,B.1.1.7,1633,1687,96.8
Netherlands,NL,2021-18,TESSy,52462,1687,3.2,Yes,B.1.351,12,1687,0.7
Netherlands,NL,2021-18,TESSy,52462,1687,3.2,Yes,B.1.617,0,1687,0
Netherlands,NL,2021-18,TESSy,52462,1687,3.2,Yes,B.1.617.2,1,1687,0.1
Netherlands,NL,2021-18,TESSy,52462,1687,3.2,Yes,B.1.621,3,1687,0.2
Netherlands,NL,2021-18,TESSy,52462,1687,3.2,Yes,P.1,36,1687,2.1
Netherlands,NL,2021-18,TESSy,52462,1687,3.2,Yes,Other,2,1687,0.1
Netherlands,NL,2021-19,TESSy,38178,1650,4.3,Yes,B.1.1.7,1589,1650,96.3
Netherlands,NL,2021-19,TESSy,38178,1650,4.3,Yes,B.1.351,8,1650,0.5
