country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,AT.1,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,AY.4.2,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.1.529,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.1.7,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.1.7+E484K,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.351,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.427/B.1.429,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.525,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.526,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.616,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.617,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.617.1,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.617.2,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.617.3,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.620,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.621,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,B.1.640,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,C.1.2,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,C.37,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,P.1,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,P.3,0,4,0
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,UNK,0,,
Austria,AT,2020-40,GISAID,5597,4,0.1,Yes,Other,4,4,100
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,AT.1,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,AY.4.2,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.1.529,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.1.7,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.1.7+E484K,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.351,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.427/B.1.429,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.525,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.526,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.616,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.617,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.617.1,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.617.2,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.617.3,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.620,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.621,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,B.1.640,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,C.1.2,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,C.37,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,P.1,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,P.3,0,26,0
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,UNK,0,,
Austria,AT,2020-41,GISAID,7486,26,0.3,Yes,Other,26,26,100
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,AT.1,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,AY.4.2,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.1.529,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.1.7,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.1.7+E484K,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.351,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.427/B.1.429,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.525,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.526,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.616,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.617,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.617.1,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.617.2,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.617.3,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.620,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.621,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,B.1.640,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,C.1.2,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,C.37,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,P.1,0,42,0
Austria,AT,2020-42,GISAID,9903,42,0.4,Yes,P.3,0,42,0
